AT,V,AP,RH,PE
17.03,42.24,1017.07,64.52,469.21
26.26,61.08,1013.51,67.05,450.07
09.08,42.22,1033.38,67.55,474.12
25.42,75.06,1017.39,78.03,438.24
29.15,77.24,1009.32,77.17,433.03
18.58,47.37,1014.25,74.09,454.26
22.56,71.19,1006.25,93.09,435.14
23.05,49.38,1016.04,49.33,446.05
27.18,52.03,1008.52,61.23,441.21
10.13,39.18,1024.09,85.48,479.42
32.37,69.04,1008.05,48.09,441.18
09.35,36.18,1014.08,77.34,478.07
07.57,40.01,1019.06,86.13,481.26
26.37,43.21,1011.09,89.13,435.23
24.56,60.27,1018.03,74.05,440.31
31.11,64.05,1012.15,63.21,438.42
13.08,39.39,1014.25,82.35,471.07
20.21,58.12,1015.36,79.18,453.19
17.17,45.01,1013.47,81.42,458.22
29.18,71.43,1012.05,59.49,444.15
18.26,52.09,1016.11,68.39,457.42
04.24,39.09,1009.28,97.14,491.25
24.11,59.27,1011.02,78.18,444.35
15.05,40.12,1013.19,97.15,460.41
10.02,41.01,1019.43,98.39,467.34
05.05,35.57,1027.03,80.02,491.04
27.21,71.29,1010.05,81.09,434.48
16.08,39.16,1006.09,76.02,462.38
22.25,64.26,1020.16,69.24,446.02
31.38,67.45,1015.18,45.04,433.59
30.14,68.09,1006.54,57.05,427.31
30.29,71.29,1009,56.12,431.45
29.42,56.09,1006.51,53.06,439.51
26.06,61.02,1010.26,66.16,436.19
20.04,48.06,1015.21,75.36,455.27
13.16,54.03,1017.33,82.43,468.04
33.17,70.04,1004.45,58,430.14
16.14,45.11,1015.23,39.41,469.28
25.34,71.06,1008.14,92.52,435.26
21.12,63.56,1014.16,81.42,445.09
13.41,39.35,1015.01,79.32,472.25
13.38,40.12,1014.32,97.36,468.15
17.27,43.52,1021.37,77.13,460.08
17.09,46.18,1010.08,96.08,466.03
07.08,39.04,1018.46,66.05,482.31
27.14,75.23,1011.47,63.14,439.33
21.08,44.05,1008.13,72.52,449.06
32.23,69.13,1001.01,55.01,426.09
13.48,41.13,1017.59,95.21,463.06
10.45,40,1019.01,89.01,465.43
25.43,70.17,1000.46,88.24,436.43
07.09,39.37,1020.07,73.26,487
31.24,74.22,1008.14,49.17,430.44
22.32,62.27,1010.08,59.23,445.52
11.14,53.15,1022.15,75.41,467.48
14.07,41.48,1017.51,63.54,464.37
10.19,40.09,1002.36,94.26,472.01
14.04,40.04,1011.09,87.22,472.31
24.43,61.25,1012.06,85.24,436.05
15.28,42.28,1007.26,71.03,467.13
11.08,38.38,1021.19,72.33,476.22
14.22,42.32,1015.54,77.23,465
14.47,45.06,1016.33,93.52,464.41
07.19,41.21,1015.22,86.05,487.15
12.13,38.32,1008.24,65.13,472.04
11.34,44.07,1012.36,73.03,477.34
14.44,39,1017.06,76.02,467.36
24.53,75.18,1009.09,78.34,446.03
30.12,54.02,1013.26,38.48,439.24
17.52,44.05,1009.27,86.07,456.12
13.39,44,1025.22,90.27,471.33
10.04,40.06,1016.24,82.31,481.03
30.05,67.15,1017.55,38.02,433.27
33.11,70.15,1009.28,42.08,437.19
13.41,41.29,1011.25,90.01,472.04
27.38,75.18,1010.17,69.54,442.28
15.19,42.03,1017.38,72.06,463.04
28.24,65.09,1007.35,61.14,438.03
29.04,60.07,1015.28,47.23,438.05
14.14,45.08,1025.37,85.19,467.19
12.58,40.12,1018.25,58.14,471.24
17.03,47.45,1010.29,87.13,449.19
28,69.05,1001.22,65.24,428.11
15.15,54.22,1016.34,62.59,461.06
25.47,65.34,1015.03,50.31,445.39
21.18,68.28,1009.15,61.27,450.57
26.12,49.02,1009.03,72.04,438.52
14.18,41.13,1017.55,94.28,462.59
26.28,68.14,1006.01,53.17,436.11
28.16,75.33,1004.09,80.02,433.03
18.26,50.04,1025.32,63.22,462.06
06.04,39.18,1024.06,87.23,484.44
26.31,44.57,1007.51,52.06,453.13
33.29,74.08,1014.45,52.34,426.46
07.14,36.08,1020.36,87.38,484.18
23.09,65.18,1012.47,80.09,441.18
33.11,77.54,1010.36,51.39,432.17
22.28,59.26,1014.08,66.47,446.55
29.24,75.06,1018.41,54.36,443.09
32.15,75.39,1003.25,53.33,431.22
09.06,42.22,1033.33,73.03,475.01
21.54,69.48,1011.04,80.48,443.15
13.33,38.47,1015.42,58.27,466.26
13.13,38.13,1022.29,62.16,471.29
29.13,68.24,1008.31,57.25,431.03
9,43.13,1020.25,81.32,481.09
31.01,68.51,1013.39,54.03,429.08
29.21,57.26,1006.22,57.26,434.08
15.35,43.14,1028.06,67.11,464.31
23.04,48.06,1014.16,55.39,459.36
24.04,69.34,1008.02,69.11,437.13
28.09,65.34,1014.31,46.59,443.24
29.22,65.19,1017.14,56.34,445.01
25.23,69.34,1009.51,83.27,446.32
09.17,41.17,1011.54,89.58,480.56
08.01,45.11,1019.41,70.48,485.36
28.37,75.06,1017.48,55.19,439.25
22.22,51.06,1014.14,73.06,455.02
15.22,43.14,1028.04,70.21,466.34
14.37,52.05,1012.05,85.36,464.04
32.14,72.25,1012.21,42.02,437.29
27.27,72.58,1009.25,89.31,429.33
00.35,59.19,1010.45,74.34,448.32
29.08,66.54,1005.07,64.05,430.16
28.03,64.33,1011.23,69.28,441.51
13.06,44.07,1012.49,96.36,472.44
30.12,74.16,1013.13,63.56,433.08
29.44,65.51,1015.22,56.49,446.07
26.35,60.32,1010.05,76.05,444.33
32.05,71.37,1004.15,43.08,433.07
00.37,44.57,1007.35,63.11,448.17
22.37,58.12,1015.29,77.47,449.06
32.17,73.21,1001.43,70.26,431.04
12.35,41.13,1019.03,95.53,467.11
18.03,53.16,1013.06,82.03,458.04
32.07,71.29,1008.43,45.35,427.36
31.39,69.59,1008.28,63.26,436.16
12.32,41.02,1017.06,55.25,468.14
11.05,42.18,1014.06,70.04,474.27
31.24,68.03,1016.29,43.24,435.02
09.13,39.04,1022.36,74.06,483.24
23.39,71.25,1005.22,93.07,436.08
12.35,42.03,1017.58,91.29,465.02
33.03,68.14,1003.02,53.43,427.28
24.27,61.47,1008.24,81.25,449.06
18.13,40.12,1003.15,59.25,456.21
21.09,55.05,1019.25,60.27,456.52
27.52,67.09,1006.05,59.52,439.01
17.16,48.14,1013.32,66.14,456.31
13.17,37.11,1013.29,86.04,475.59
16.44,54.22,1015.04,63.16,462.09
29.01,70.32,1007.26,60.55,429.23
18.09,57.05,1016.21,93.09,451.42
22.33,72.34,1011.06,83.25,442.25
26.58,59.39,1014.49,66.27,439.46
17.36,52.09,1015.42,70.37,459.06
28.18,65.24,1009.22,56.04,444.05
25.03,59.57,1010.45,85.36,441.07
14.02,40.02,1014.02,85.05,466.14
17.02,54.03,1018.39,64.16,459.59
17.33,41.35,999.51,68.36,460.46
21.12,64.34,1017.17,60.23,448.09
07.29,39.37,1020.21,74.17,486.09
34.01,70.28,1007.04,42.51,436.39
27.38,59.21,1013.14,53.53,438.18
23.21,64.34,1013.56,80.23,446.11
26.13,71.25,999.08,88.47,430.06
15.18,44.02,1019.06,72.45,462.09
06.06,39.42,1024.07,78.52,482.11
16.15,37.39,1008.07,93.08,464.38
29.45,75.06,1018.12,51.08,437.31
20.12,69.45,1013.23,88.48,443.29
22.08,73.17,1012.27,91.57,438.38
30.33,72.25,1008.43,67.04,427.22
29.25,73.39,1007.25,61.15,429.12
34.14,74.34,1000.19,43.56,434.23
19.47,59.19,1016.08,87.26,450.17
24.03,58.46,1016.11,70.15,442.03
13.11,43.02,1012.25,63.08,475.38
26.06,61.41,1012.35,54.42,451.04
27.09,66.01,1014.22,48.13,443.34
26.44,72.17,1007.08,81.45,430.12
28.31,66.11,1015.07,59.29,447.26
11.27,45.11,1021.38,58.22,485.03
29.54,69.48,1009.31,56.07,428.22
16.38,41.48,1017,56.13,456.31
24.27,70.47,1009.36,78.31,434.24
30.18,71.38,1008.22,77.59,436.32
24.05,65.09,1007.03,69.02,438.36
28.59,80.18,1011.36,89.18,431.55
14.37,40.24,1018.32,89.12,468.33
11.56,40.43,1025.48,75.15,489.54
20.07,49.21,1012.34,56.08,454.25
31.19,68.03,1015.26,39.01,430.48
18.39,68.11,1004.17,92.48,445.03
10.18,43.08,1022.25,70.04,477.22
29.26,69.34,1010.16,59.04,435.32
09.53,38.38,1020.49,80.08,478.03
22.32,48.41,1009.08,79.11,445.36
19.35,42.23,1013.01,79.04,463.13
11.55,42.34,1021.18,94.56,469.13
27.03,65.12,1016.24,45.27,443.18
22.01,69.03,1015.19,59.05,449.54
17.12,68.28,1003.56,94.29,450.34
15.25,46.27,1009.37,85.05,463.07
10.33,41.09,1014.25,84.46,480.18
19.45,46.33,1013.39,99.52,453.22
12.16,41.21,1026.19,71.37,477.03
08.05,36.03,1016.05,65.51,482.56
04.31,38.05,1012.15,82.08,493.32
19.04,43.43,1009.25,69.14,453.32
26.02,71.19,1004.21,79.12,429.12
26.09,60.29,1018.12,51.23,445.11
27.14,65.27,1013.26,55.17,442.08
23.07,58.02,1017.31,61.15,446.36
07.28,41.07,1020.16,72.07,493.03
26.02,73.17,1012.05,86.45,430.56
22.33,59.08,1017.24,67.09,450.07
00.33,68.28,1005.16,70.31,445.35
29.07,51.43,1006.22,61.58,439.19
16.19,51.28,1014.58,99.09,460.19
29.21,65.36,1000.46,68.05,428.31
17.07,44.09,1021.14,70.18,460.19
32.51,70.38,1012.32,49.45,428.37
22.11,59.08,1017.14,73.09,453.45
18.41,62.01,1020.04,78.01,457.14
28.09,71.25,1001.13,77.24,431.52
10.47,44.21,1018.27,85.34,476.02
10.09,37.14,1013.39,72.59,474.06
27.09,73.05,1011.34,76.06,434.31
17.44,45.29,1009.09,80.54,458.07
00.16,59.22,1012.15,77.34,444.57
31.11,69.05,1002.37,41.56,433.19
00.26,64.17,1014.06,82.37,440.58
15.09,41.29,1010.15,92,466.47
09.26,40.01,1021.18,84.58,480.38
16.23,53.15,1024.03,58.34,458.06
10.36,40.06,1015.23,83.38,480.06
19.03,65.59,1014.07,82.38,453.16
20.31,51.19,1008,90.23,449.23
23.18,51.43,1011.56,82.23,450.34
19.13,45.38,1015.12,82.35,460.34
24.06,64.18,1017.25,60.33,449.05
29.38,74.09,1003.25,72.19,434.14
29.15,69.48,1009.08,56.18,430.54
31.03,69.59,1008.17,64.36,432.56
22.24,45.09,1014.34,46.11,451.28
06.28,43.02,1014.12,88.13,487.17
22.48,50.32,1008.47,83.58,444.05
31.51,72.37,1008.24,71.18,430.11
16.07,41.01,1004.01,78.33,466.45
13.24,39.16,1016.52,87.06,474.48
17.01,43.52,1020.03,70.51,461.51
32.32,67.09,1006.08,38.33,428.12
23.51,64.18,1016.01,70.19,446.58
13.58,41.15,1016.05,76.45,473.13
12.43,40.27,1007.08,61.56,471.32
16.37,40.04,1009.19,77.32,464.31
08.04,44.19,1016.17,84.45,486.01
21.03,59.08,1016.26,77.03,454.26
33.37,74.28,1005.08,48.34,437.16
19.32,62.26,1012.05,86.39,451.51
21.01,49.18,1020.08,85.05,449.38
22.38,63.31,1015.16,73.08,441.03
30.02,74.07,1006.31,62.14,429.12
31.02,70.04,1006.24,78.26,431.37
18.04,58.16,1016.28,85.04,456.15
29.25,58.33,1014.18,41.39,444
22.04,71.34,1008.06,84.52,440.04
19.13,69.01,1011.05,95.32,449.09
00.19,59.44,1012.53,79.48,449.07
22.12,60.37,1009.15,92.13,439.18
29.14,67.45,1015.51,46.47,433.34
20.17,56.03,1019.47,57.17,458.04
29.03,74.16,1008.12,82.32,431.32
05.07,41.02,1016.07,85.34,483.22
25.05,68.08,1011.13,73.26,436.07
16.06,47.45,1010.37,88.09,451.02
28.15,65.34,1014.08,46.31,441.23
25.12,66.56,1009.22,66.02,436.56
23.18,62.44,1012.19,75.43,446.12
29.03,69.48,1010.01,54.09,429.42
08.01,40.02,1031.33,85.01,478.24
16.58,38.01,1023.05,60.14,464.03
17.08,59.26,1016.04,87.46,450.38
17.54,44.58,1016.56,79,465.51
27.33,56.09,1006.25,78.19,444.07
22.52,67.32,1011.04,66.02,443.49
13.48,46.18,1018.15,88.38,464.58
09.05,40,1015.48,81.31,472.41
20.33,57.05,1020.07,63.22,456.53
30.08,64.33,1011.02,58.13,442.19
30.52,70.04,1011.02,54.47,431.14
12.54,40.08,1024.56,69.37,480.05
27.06,69.05,1004.27,42.01,436.08
18.48,46.48,1007.53,82.57,461.49
15.24,48.06,1007.08,86.49,460.25
04.41,42.07,1005.54,69.25,488.36
16.22,45.28,1018.59,79.28,461.09
25.05,72.43,1008.39,90.05,437.59
19.02,53.12,1025.44,51.09,461.57
23.32,69.13,1011.15,92.24,435.27
00.39,68.12,1013.32,71.08,437.14
10.12,40.36,1026.38,99.03,471.06
12.53,43.56,1014.08,74.05,469.23
18.11,52.08,1002.51,100.09,450.39
25.34,59.07,1009.29,85.19,440.12
31.32,59.57,1011.27,62.43,441.36
13.08,45.01,1014.26,83.26,449.09
25.41,66.49,1014.06,51.09,449.02
14.12,39.04,1008.02,76.45,469.03
28.33,65.36,1000.11,70.06,427.42
15.17,49.15,1020.56,80.27,468.12
29,71.12,1009.51,68.12,437.55
18.02,50.18,1004.26,100.09,451.41
11.55,40.06,1014.44,87.06,475.14
15.31,53.15,1025.21,55.22,461.17
12.36,38.13,1021.36,65.45,470.39
19.45,59.35,1018.19,93.46,445.01
27.05,68.19,1011.39,71.37,444.29
10.13,40.22,1011.48,88.28,481.42
11.11,37.05,1014.08,74.07,473.32
13.01,41.58,1021.22,78.41,465.04
12.16,41.36,1023.22,81.31,475.18
17.58,40.03,1005.24,80.43,467.33
27.54,51.43,1012.03,55.22,439.08
30.19,77.17,1010.08,64,433.24
14.23,40.02,1013.28,90.44,465.53
32.05,77.24,1008.06,67.09,432.49
28.14,77.26,1000.07,70.17,435.08
34.11,73.56,1007.17,46.32,433.18
23.23,71.19,1006.36,92.07,438
21.04,47.43,1007.15,65.22,450.27
12.39,41.15,1016.05,82.31,476.36
27.07,72.24,1011.02,67.06,434.56
17.02,40.39,1007.07,77.14,464.14
25.27,67.07,1006.34,66.35,446.21
09.52,41.26,1020.55,90.13,475.44
18.14,58.33,1013.55,81.08,446.01
22.09,49.03,1003.45,81.35,442.17
15.26,43.14,1019.21,99.14,461.14
27.11,66.25,1008.11,79.28,435.41
13.42,43.26,1014.28,85.13,473.27
26.22,72.39,1003.04,86.33,433.38
15.14,44.21,1020.37,84.26,463.01
10.17,41.17,1018.58,88.12,478.04
27.44,65.59,1011.16,69.07,441.08
00.34,63.21,1013.52,83.12,440.15
25.16,74.33,1014.55,76.07,436.15
13.28,43.14,1026.25,74.54,471.29
32.27,67.32,1014.05,37.09,435.47
22.18,65.46,1017.14,54.02,448.32
09.41,41.54,1019.48,82.19,481.59
12.17,40.06,1013.59,89.02,474.16
30.57,70.11,1009.34,60.39,439.38
28.16,71.38,1008.51,72.12,435.04
10.12,43.41,1016.25,76.39,474.01
11.09,39.16,1016.53,84.59,478.15
07.01,42.14,1022.25,91.07,484.12
11.47,40.27,1005.39,77.04,479.44
28.19,67.45,1014.37,50.16,435.17
10.15,37.06,1026.21,70.12,479.45
07.55,44.05,1019.09,62.11,482.01
19.09,56.53,1020.52,78.05,456.48
12.45,40.56,1018.24,66.52,477.41
09.15,40.01,1018.11,75.29,475.28
14.38,41.06,1016.34,92.37,463.01
26.16,67.09,1006.21,61.02,444.06
23.03,46.01,1014.14,73.06,458.28
30.51,71.19,1004.55,56.05,429.19
26.02,60.07,1015.15,59.41,441.29
26.17,69.04,1010.06,65.49,445.35
15.14,44.47,1028.29,68.27,463.32
17.02,45.25,1014.38,63.06,460.38
18.08,53.16,1013.09,83.19,457.26
09.33,40.46,1019.03,71,473.17
09.49,41.09,1015.09,91.31,477.07
23.48,73.39,1010.01,88.16,437.01
23.09,49.21,1013.04,47.23,449.01
13.05,44.34,1019.04,71.45,468.08
13.19,45.08,1022.51,99.55,466.15
13.01,41.17,1017.26,76.02,469.48
31.16,69.14,1008.03,71.24,432.07
22.56,47.43,1007.12,55.22,449.05
20.07,58.16,1017.13,68.19,453.22
21.09,50.09,1012.42,69.09,456.09
26.35,59.44,1012.16,64.13,444.13
35.01,68.27,1007.36,43.51,426.03
14.43,38.28,1015.16,80.16,467.12
16.32,43.56,1014.04,60.17,463.57
12.21,41.04,1020.31,84.24,464.03
32.13,70.38,1013.03,56.25,432.24
26.08,70.32,1009.08,90.48,431.32
24.04,62.26,1012.02,70.01,439.06
06.41,41.21,1026.57,93.51,484.49
23.38,65.06,1014.12,59.36,443.08
30.21,75.33,1002.24,67.11,431.46
23.28,50.23,1016.11,64.17,458.08
28.39,71.58,1011.08,69.39,436.39
16.01,50.04,1026.35,78.15,457.08
31.08,59.57,1011.16,60.49,443.28
23.09,70.02,1010.58,78.25,443.27
21.03,69.05,1002.17,75.35,444.35
12.05,50.23,1008.54,95.11,454.18
15.13,54.03,1017.15,67.13,464.03
32.56,68.14,1004.02,35.04,425.11
07.39,40.07,1015.23,54.36,490.11
19.24,41.19,1005.18,92.46,460.36
06.18,41.38,1020.23,81.38,491.21
14.12,50.23,1007.28,89.49,464.05
29.48,59.27,1011.39,51.23,441.12
14.35,39.39,1013.32,82.41,470.53
19.47,43.43,1012.06,70.33,451.38
27.32,73.17,1011.42,77.34,431.29
26.16,70.04,1010.03,73.22,432.56
20.17,49.39,1019.02,91.03,451.05
27.32,62.44,1011.09,70.08,438.39
27.54,75.06,1018.26,58.29,441.27
19.15,41.01,1002.37,59.06,458.31
26.29,68.24,1011.11,77.35,430.11
27.16,66.01,1014.21,48.33,441.33
16,39.16,1016.37,78.03,468.49
10.38,38.13,1021.05,75.02,475.02
30.29,74.16,1009.17,75.23,431.39
25.09,72.13,1010.13,70.54,437.18
14.16,41.29,1011.18,83.26,471.15
10.37,40.39,1010.09,95,477.31
22.36,51.43,1007.28,90.36,443.27
32.43,68.31,1010.09,42.22,440.15
28.39,70.29,1014.34,51.25,436.19
18.15,45.01,1013.06,72.04,455.21
09.23,43.56,1014.09,81.55,482.43
27.02,70.36,1005.15,85.39,441.28
33.36,68.31,1010.39,42.33,443.57
25.07,69.01,1011.11,57.47,451.04
27.06,70.47,1007,72.37,431.22
25,70.11,1009.23,81.32,438.38
15.47,39.13,1001.13,78.01,468.36
17.36,41.23,998.08,63.46,459.01
30.02,70.02,1010.09,43.01,439.35
13.54,41.09,1016.25,77.55,471.05
24.52,59.15,1014.03,75.23,439.55
10.13,38.56,1017.18,62.21,480.18
20.06,65.12,1015.53,71.57,453.26
25.16,68.08,1011.29,70.16,436.18
21.26,64.13,1008.54,97.23,440.42
10.31,45.01,1018.42,94.07,474.14
20.37,69.48,1011.04,84.31,446.21
17.58,44.09,1020.52,71.48,460.18
19.04,52.26,1018.05,79.01,459.04
25.38,72.13,1010.37,72.06,434.44
33.21,77.17,1009.17,53.13,430.53
19.41,67.32,1012.34,78.08,447.11
22.13,69.05,1001.31,87.04,439.01
22.29,57.29,1014.39,85.29,441.09
29.39,71.14,1011.37,54.28,430.05
20.08,58.12,1015.53,81.24,456.25
16.51,52.26,1022.37,81.18,442.48
14.47,43.39,1010.18,91.15,469
17.37,40.55,1001.19,71.42,461.37
17.03,44.39,1021.05,82.32,460.25
26.31,67.07,1006.06,60.12,442.14
06.03,41.18,1025.53,99.08,480.36
31.09,73.42,1011.22,60.58,432.27
20.03,47.45,1009.04,77.56,450.06
31.23,69.07,1006.22,52.01,436.58
13.08,45.08,1024.39,80.12,467.11
15.52,42.33,1023.37,53.32,472.37
00.08,51.03,1012.26,71.24,452.07
23.25,70.32,1009.28,86.52,438.36
24.58,49.02,1009.25,79.32,442.47
08.03,36.03,1016.37,61.02,480.58
09.27,42.02,1004.29,95.05,475.33
15.52,43.26,1015.09,83.48,467.12
31.11,68.24,1006.15,34.15,429.41
11.47,25.36,1008.27,95.04,469.51
30.51,71.34,1008.04,59.42,431.31
26.43,66.48,1004.36,55.09,435.59
29.05,70.32,1008.46,58.13,433.45
21.38,49.21,1012.49,54.17,450.06
20.37,59.21,1018.27,83.46,450.41
19.38,54.09,1017.08,70.46,454.01
18.17,44.06,1017.37,54.25,460.13
07.04,42.14,1022.31,88.55,489.39
30.03,69.51,1011.08,50.43,431.12
15.31,43.34,1015.15,81.56,461.27
27.27,69.23,1013.11,54.54,434.29
19.26,51.43,1010.27,86,447.31
21.17,44.17,1011.16,63.12,453.46
12.02,45.17,1019.04,76.01,469.41
16.17,42.19,1006.18,78.08,455.12
12.09,36.16,1019.02,55.06,472.12
09.17,41.07,1019.03,66.21,487.33
11.22,42.02,996.03,99.34,475.46
23.08,48.41,1008.44,82.35,443.05
13.14,39.13,1008.19,95.21,468.57
27.25,57.19,1007.09,60.04,438.01
28.44,69.04,1004.38,73.51,433.44
14.02,43.26,1031.26,68.36,467.29
14.57,42.19,1008.01,83.25,457.21
15.04,41.09,1015.01,70.25,472.06
17.15,42.23,1014.21,85.38,465.27
30.23,69.07,1005.33,71.15,434.28
26.25,66.56,1008.29,61.05,436.03
27.17,63.09,1015.59,68.33,444.06
27.49,72.34,1008.25,68.29,428.27
11.07,41.16,1018.38,96.11,463.34
24.37,73.42,1010.19,76.01,440.29
26.14,61.02,1010.13,67.11,436.17
16.31,39.02,1016.02,64.03,462.25
09.24,41.04,1031.12,87.36,476.09
14.09,42.06,1009.25,71.04,470.33
11.01,37.05,1008.08,100.13,472.09
29.12,77.26,999.31,72.14,432.14
17.01,26.28,1009.34,65.47,461.37
24.35,52.26,1014.34,67.22,443.21
27.35,72.24,1011.16,73.14,436.05
14.29,41.49,1020.02,86.47,469.06
21.38,47.43,1007.39,68.15,450
25.14,64.27,1017.31,56.05,447.02
16.12,46.27,1008.15,86.12,457.41
21.34,44.58,1017.38,60.05,464.09
21.01,59.36,1014.33,61.08,454.28
06.52,35.57,1025.37,78.32,486.06
13.14,44.11,1024.47,87.42,467.07
14.33,44.47,1025.35,81.54,469.25
14.46,46.27,1009.21,84.09,464.05
22.23,63.31,1011.07,91.34,444.16
10.37,41.26,1020.06,91.14,475.43
15.09,43.13,1016.11,54.36,467.27
26.03,71.58,1010.14,87.57,434.16
24.17,71.58,1010.16,90.36,436.27
18.06,43.56,1013.09,51.16,465.07
31.05,69.13,1000.38,58.49,426.31
10.19,37.14,1013.14,73.48,475.01
13.26,42.18,1010.17,62.09,468.18
10.06,42.22,1033.19,73.19,478.07
23.06,62.44,1011.52,78.12,441.06
16.31,71.14,1019.07,73.05,458.15
09.19,41.07,1019.05,66.03,489.02
31.28,68.23,1009.37,55.39,425.36
21.38,60.07,1016.26,67.18,446.26
14.02,43.26,1032.36,69.59,469.03
26.09,57.32,1012.34,44.18,441.43
00.05,60.32,1010.19,89.53,437.14
15.48,45.39,1012.34,70.35,464.32
11.04,40.01,1018.33,67.21,471.48
14.48,39.32,1015.06,90.05,471.03
10.47,43.14,1010.35,87.26,476.55
25.05,64.26,1018.37,56.15,443.29
16.02,46.16,1015.13,90.24,461.27
29.01,53.24,1006,46.13,437.39
23.13,61.47,1009.36,85.05,438.08
13.55,43.39,1007.58,97.55,471.22
19.11,54.09,1017.12,75.19,457.28
14.35,50.23,1006.39,91.23,462.54
30.19,69.34,1009.22,65.13,435.14
30.04,54.02,1013,39.56,438.12
15.11,45.01,1017.01,84.39,462.21
25.02,60.29,1017.49,55.15,446.01
00.01,49.16,1002.39,66.03,443.05
16.05,38.28,1014.38,74.29,467.15
19.59,60.27,1018.28,85.23,450.14
23.23,57.29,1013.27,75.43,442.25
09.41,43.05,1021,89.14,474.24
07.03,39.37,1020.33,76.18,489.16
28.29,70.28,1008.39,86.02,431.15
22.54,52.35,1007.29,79.28,447.29
14,40.08,1026.17,55.22,475.27
07.27,40.25,1013.06,83.34,486.26
30.47,70.02,1010.05,62.03,436.12
27.33,69.34,1007.04,62.23,432.36
13.07,34.03,1019.22,69.07,470.02
22.03,59.43,1007.28,82.05,442.09
30.32,74.22,1008.31,53.14,429.36
17.13,44.19,1016.09,59.34,465.03
26.03,72.34,1007.04,85.12,429.23
17.55,49.18,1017.21,91.27,455.11
23.34,59.14,1017.47,79.31,439.06
23.26,58.02,1017.12,58.38,447.27
08.07,41.17,1019.04,86.43,484.54
24.45,69.03,1013.38,45.35,446.33
18.41,50.09,1007.06,80.55,455.37
18.22,58.02,1017.09,82.32,451.04
16.54,43.26,1015.25,78,465.26
30.01,65.18,1013.27,44.35,437.31
29.19,67.51,1011.48,55.55,447.37
14.58,42.32,1030.42,62.36,463.09
19.41,64.45,1009.44,64.05,452.55
19.35,65.48,1018.17,72.25,453.25
11.36,41.15,1016.34,85.19,477.05
00.19,58.49,1011,75.39,446.27
16.55,42.33,1023.11,43.13,467.17
21.43,59.14,1016.31,64.04,448.51
19.38,60.01,1010.09,85.34,453.37
16.38,55.05,1019.08,82.44,464.58
23.26,59.21,1018.11,67.16,442.38
22.55,70.24,1006.57,76.29,438.54
10.01,41.18,1024.11,88.11,471.22
23.33,54.02,1012.47,79.48,440.11
21.29,69.03,1012.06,69.52,452.05
14.18,54.22,1016.09,64.57,465.25
09.34,42.07,1018.09,86.33,473.34
29.01,70.24,1004.02,67.26,428.25
28.59,75.08,1005.58,60.03,442.07
14.31,40.24,1017.03,86.33,466.24
32.21,72.25,1008.25,58.09,429.15
15.34,43.05,1021.18,79.44,460.17
27,69.34,1009.28,74.04,439.26
00.03,65.59,1013.01,77.35,440.56
07.19,38.05,1013.01,72.46,489.09
09.01,41.17,1022.37,90.03,471.24
18.32,44.02,1019.37,53.08,455.37
09.05,41.07,1015.57,75.48,486.55
24.17,73.18,1012.12,86.01,437.27
27.32,64.13,1010.29,68.06,440.35
15.59,53.15,1024.03,60.33,459.27
10.17,41.46,1019.34,83.04,480.13
11.06,37.05,1009.42,96.26,473.26
32.48,70.29,1014.38,46.39,434.13
29.05,68.24,1008.28,43.07,434.32
33.31,74.08,1014.49,51.02,426.28
06.01,40.07,1020.21,67.24,494.43
25.11,63.21,1012.21,83.58,443.43
08.29,71.14,1018.04,86.49,475.06
23.22,70.34,1005.05,73.47,437.32
14.13,43.41,1015.26,56.03,462.36
09.32,36.03,1027.09,77.02,478.55
12.26,40.55,1020.22,91.45,473.31
10.05,40.46,1019.11,67.38,469.06
11.22,40.22,1011.01,82.07,476.07
32.08,71.19,1004.05,54.05,429.55
10.27,42.34,1023.09,93.18,474.55
09.34,41.17,1012.14,91.21,477.36
29.23,66.44,1008.47,77.49,430.01
24.01,67.17,1007.44,87.27,443.09
10.08,41.48,1018.24,71.04,473.31
15.26,45.11,1018.03,49.46,466.38
09.14,36.03,1015.18,62.37,439.03
16.55,46.18,1010.37,96.54,455.08
28.05,48.41,1008.54,58.25,441.34
10.01,41.17,1019.18,85.27,480.35
29.15,65.24,1010.01,58.24,441.03
19.15,63.09,1018.19,88.24,451.38
18.32,45,1023.07,46.38,471.43
29.02,68.24,1010.15,69.31,428.08
11.46,39.01,1010.17,100.15,470.55
14.32,43.41,1015.12,62.04,465.16
23.29,75.18,1010.19,81.57,443.07
21.13,47.43,1007.37,64.26,449.23
25.18,69.34,1007.29,70.56,436.33
17.03,48.23,1005.34,80.08,460.43
25.41,65.12,1016.01,53.39,443.26
21.47,61.33,1006.46,88.23,443.15
10.08,41.39,1020.14,74.08,479.15
12.07,36.18,1016.03,61.44,473.16
20.01,57.05,1021.04,64.14,457.41
21.48,47.43,1007.28,63.54,449.02
21.48,67.31,1008.58,84.49,447.42
14.17,43.13,1015.34,49.02,471.08
24.15,65.03,1021.12,58.06,449.27
29.21,69.23,1013.14,39.18,434.14
16.53,46.18,1010.02,95.42,459.07
22.01,68.12,1013.11,80.17,440.08
16.22,51.28,1014.33,100.09,455.34
10.09,41.07,1017.06,65.09,482.04
13.09,40.02,1013.13,90.31,464.17
31.01,77.17,1009.49,73.19,430.46
05.09,46.27,1013.25,87,481.27
